prefix	equation
/ 9 1	How many is nine / one?
/ 7 2	what is 7 divided by 2?
/ 10 4	I would like to know what is ten / four?
/ 3 10	what is three divided by ten?
- 3 6	what is three minus 6?
/ 5 6	How many is 5 / 6?
* 4 4	what is four multiplied by 4?
+ 8 10	what is 8 added with ten?
* 1 1	How many is 1 times one?
/ 1 3	I would like to know what is 1 / 3?
* 6 2	I would like to know what is 6 * 2?
/ 7 1	what is seven divided by 1?
/ 1 5	I would like to know what is one divided by five?
+ 10 7	what is ten + seven?
* 3 9	what is 3 * 9?
* 4 7	I would like to know what is four multiplied by seven?
- 2 1	I want to calculate two extracted by 1?
- 10 6	I would like to know what is ten - six?
- 1 1	what is one - one?
- 7 3	How many is 7 minus three?
+ 5 2	I would like to know what is five added with two?
- 6 8	How many is six - eight?
- 6 3	I want to calculate 6 extracted by three?
- 3 8	How many is three minus 8?
+ 3 3	How many is three plus three?
/ 4 9	I would like to know what is 4 divided by 9?
/ 7 2	I want to calculate seven divided by 2?
- 5 4	what is five minus four?
* 3 8	what is 3 times eight?
/ 7 5	How many is seven divided by five?
/ 9 7	How many is nine divided by 7?
+ 6 2	How many is six added with two?
* 9 7	what is nine multiplied by seven?
/ 4 6	I would like to know what is four divided by six?
/ 8 1	what is 8 divided by 1?
- 5 5	I would like to know what is five extracted by five?
/ 2 2	what is 2 / two?
/ 4 3	what is 4 divided by 3?
- 4 9	what is four minus nine?
+ 2 4	I would like to know what is 2 added with 4?
/ 7 6	How many is seven divided by six?
- 4 9	what is 4 extracted by nine?
+ 6 1	what is 6 plus 1?
+ 2 5	How many is 2 added with five?
+ 10 1	I would like to know what is 10 added with 1?
+ 8 5	How many is 8 added with five?
- 9 5	what is 9 extracted by 5?
- 3 5	How many is 3 minus five?
/ 2 9	I would like to know what is 2 divided by 9?
- 4 9	I would like to know what is 4 extracted by nine?
- 10 7	I would like to know what is ten minus seven?
/ 7 8	what is seven / 8?
* 3 3	I would like to know what is 3 multiplied by 3?
* 7 4	I would like to know what is seven times four?
- 9 2	I would like to know what is 9 minus two?
- 7 10	I want to calculate 7 minus 10?
* 4 1	I want to calculate four times one?
+ 4 7	what is 4 plus seven?
+ 2 4	I want to calculate two + four?
- 3 8	I want to calculate 3 minus 8?
/ 5 3	I want to calculate 5 divided by 3?
+ 4 8	How many is 4 added with eight?
* 6 9	I would like to know what is six times 9?
+ 10 3	I want to calculate ten added with three?
* 2 1	How many is two multiplied by one?
- 4 7	I want to calculate 4 - seven?
+ 3 8	I would like to know what is 3 added with eight?
+ 1 8	I would like to know what is one plus 8?
+ 1 9	I would like to know what is one plus 9?
- 2 5	How many is two extracted by 5?
- 3 8	I would like to know what is three extracted by eight?
* 7 1	How many is 7 times one?
- 4 1	I would like to know what is four extracted by one?
* 10 6	I would like to know what is ten * six?
/ 8 6	I want to calculate 8 / six?
- 5 2	I would like to know what is five extracted by two?
- 6 1	How many is six - one?
* 9 9	what is 9 multiplied by nine?
- 6 1	what is 6 - 1?
+ 6 10	How many is 6 added with ten?
* 2 4	I would like to know what is two times four?
/ 10 8	How many is ten divided by eight?
/ 7 6	How many is seven / 6?
* 9 7	I want to calculate nine times 7?
+ 10 1	How many is ten + 1?
- 9 10	How many is 9 extracted by 10?
- 6 10	what is 6 - ten?
- 4 3	I would like to know what is four - 3?
* 5 5	I want to calculate 5 multiplied by five?
- 5 9	I would like to know what is five extracted by 9?
/ 2 9	How many is two / 9?
/ 7 4	I would like to know what is seven divided by four?
- 1 6	what is 1 minus 6?
/ 1 10	I want to calculate one divided by 10?
- 4 6	How many is four - six?
- 10 8	what is ten - 8?
+ 3 9	I would like to know what is 3 added with 9?
* 6 2	I want to calculate six multiplied by 2?
* 10 3	I would like to know what is ten times three?
- 2 5	How many is two - five?
- 9 1	I want to calculate nine extracted by 1?
- 3 2	what is 3 extracted by 2?
/ 3 9	I want to calculate 3 divided by nine?
- 5 6	How many is 5 minus 6?
* 4 7	what is 4 * 7?
- 2 6	I want to calculate two extracted by six?
* 7 10	what is 7 times ten?
- 1 10	what is 1 - ten?
* 1 8	I want to calculate one times 8?
* 2 2	what is 2 multiplied by two?
- 3 2	I want to calculate three - 2?
/ 4 2	I would like to know what is four divided by two?
+ 7 4	what is seven added with 4?
/ 10 3	I would like to know what is ten / 3?
/ 4 3	I want to calculate four divided by 3?
* 1 4	I want to calculate one times four?
+ 9 2	what is nine added with two?
/ 2 4	I want to calculate 2 / 4?
* 8 4	I would like to know what is eight multiplied by 4?
* 2 6	I want to calculate two * six?
- 4 1	what is four - 1?
- 10 10	I want to calculate 10 - ten?
* 4 3	I want to calculate four times 3?
+ 5 4	How many is five added with 4?
* 8 4	I want to calculate 8 times 4?
+ 9 3	I want to calculate nine added with three?
+ 5 8	I want to calculate 5 + 8?
+ 6 6	How many is 6 + six?
* 8 9	I want to calculate eight times nine?
- 4 5	I would like to know what is four minus 5?
/ 8 2	what is eight divided by 2?
- 9 2	what is 9 minus 2?
* 7 6	I would like to know what is 7 * six?
+ 7 6	I want to calculate seven plus 6?
* 3 1	I would like to know what is 3 multiplied by one?
+ 10 3	what is 10 plus 3?
* 2 7	what is 2 * seven?
- 9 4	what is nine - four?
* 10 4	I want to calculate ten * four?
- 9 3	I would like to know what is nine minus 3?
+ 4 5	How many is four plus five?
- 5 10	what is 5 minus ten?
* 1 1	How many is 1 * 1?
* 7 8	what is 7 * 8?
* 4 4	I want to calculate 4 multiplied by 4?
* 4 1	what is 4 * 1?
* 8 9	I would like to know what is 8 multiplied by nine?
- 7 7	I want to calculate seven minus seven?
+ 2 6	I would like to know what is two plus six?
+ 1 9	I would like to know what is 1 + 9?
- 2 1	I want to calculate two minus 1?
- 4 3	How many is 4 - 3?
+ 1 4	I would like to know what is one plus 4?
* 3 9	what is 3 times 9?
* 9 4	I want to calculate nine multiplied by 4?
* 5 3	How many is five multiplied by 3?
/ 9 3	what is nine / 3?
* 8 4	what is 8 * four?
/ 10 6	I would like to know what is ten divided by 6?
/ 9 1	I want to calculate nine divided by one?
/ 8 5	what is eight divided by 5?
/ 3 9	I would like to know what is 3 divided by 9?
- 4 5	I would like to know what is 4 minus 5?
- 9 3	I would like to know what is nine minus three?
+ 1 7	I would like to know what is one plus seven?
* 8 6	I would like to know what is 8 times six?
/ 8 5	what is eight / 5?
/ 4 5	I would like to know what is 4 divided by five?
* 2 5	How many is two times 5?
* 6 9	I want to calculate 6 * 9?
/ 7 8	what is seven divided by eight?
+ 8 9	I would like to know what is 8 + 9?
* 7 2	How many is seven multiplied by 2?
/ 10 1	I would like to know what is ten / 1?
- 3 8	what is three minus 8?
* 3 9	I want to calculate 3 times 9?
* 2 7	I want to calculate two * seven?
/ 3 5	what is 3 divided by 5?
- 1 10	I want to calculate 1 extracted by ten?
+ 9 1	I want to calculate nine plus one?
+ 9 7	what is 9 added with 7?
/ 6 8	what is 6 divided by 8?
+ 1 8	I want to calculate one + 8?
* 6 2	I would like to know what is 6 times 2?
+ 4 9	I want to calculate four plus nine?
+ 6 7	I want to calculate six plus seven?
+ 7 5	I would like to know what is 7 plus 5?
+ 2 1	How many is 2 + one?
* 5 6	what is 5 * six?
/ 2 1	How many is 2 divided by 1?
- 10 4	I want to calculate 10 extracted by four?
- 1 8	How many is one - 8?
/ 10 4	How many is ten divided by four?
- 5 3	what is 5 extracted by 3?
- 9 9	I would like to know what is nine - 9?
* 7 10	I would like to know what is 7 multiplied by 10?
* 5 1	what is five times 1?
+ 2 3	I want to calculate 2 + three?
* 1 1	I want to calculate 1 * one?
/ 6 6	How many is six / 6?
- 10 4	I would like to know what is 10 minus four?
/ 6 9	I want to calculate 6 divided by nine?
+ 4 2	I would like to know what is 4 plus two?
- 10 8	I want to calculate 10 minus 8?
* 9 4	How many is 9 * four?
- 2 10	what is 2 minus 10?
* 7 10	I want to calculate seven * 10?
+ 2 9	what is two plus 9?
+ 2 3	I want to calculate two added with three?
* 2 7	I would like to know what is two multiplied by 7?
- 6 10	what is six extracted by ten?
+ 8 7	I want to calculate eight plus 7?
- 8 7	what is eight extracted by 7?
/ 1 10	what is 1 divided by 10?
+ 4 8	I want to calculate 4 plus eight?
/ 10 9	I want to calculate 10 divided by 9?
+ 9 4	I would like to know what is 9 added with 4?
* 8 7	what is 8 times seven?
* 3 8	I would like to know what is three multiplied by 8?
+ 8 6	How many is eight added with 6?
+ 2 3	How many is two + three?
+ 10 9	I would like to know what is 10 + nine?
/ 2 2	How many is two divided by two?
* 9 3	How many is nine times three?
- 5 6	How many is five extracted by six?
- 1 6	How many is one - 6?
/ 3 6	I would like to know what is 3 divided by six?
- 6 1	I want to calculate six minus 1?
- 3 9	what is 3 minus nine?
+ 5 2	How many is five added with two?
/ 9 3	I want to calculate nine / 3?
+ 5 5	what is five + 5?
/ 7 1	what is seven / one?
+ 3 8	what is 3 plus 8?
- 4 3	I would like to know what is 4 minus 3?
+ 10 3	what is 10 + three?
* 10 7	I want to calculate 10 times seven?
/ 2 4	what is two / four?
- 6 8	I would like to know what is six - eight?
- 4 6	I would like to know what is four - six?
* 8 1	I want to calculate eight * 1?
/ 5 5	I want to calculate five / 5?
+ 9 7	what is nine added with 7?
* 9 4	How many is 9 times 4?
* 2 4	what is 2 * four?
* 4 5	what is four times 5?
/ 6 3	what is six divided by three?
+ 7 1	what is 7 + 1?
- 7 5	what is seven extracted by five?
* 5 9	I want to calculate five multiplied by 9?
- 4 10	I would like to know what is four - ten?
+ 1 10	I want to calculate 1 + ten?
+ 3 8	I would like to know what is 3 + eight?
+ 1 6	I want to calculate 1 added with six?
/ 7 6	what is 7 divided by six?
+ 3 7	I want to calculate 3 + seven?
- 8 9	How many is eight minus 9?
- 10 6	How many is 10 - six?
* 10 6	I would like to know what is 10 * 6?
- 8 6	I would like to know what is 8 extracted by 6?
* 10 5	I would like to know what is 10 multiplied by 5?
/ 10 3	what is ten divided by three?
/ 6 5	How many is six / 5?
* 10 4	what is ten times four?
- 5 9	I would like to know what is 5 extracted by nine?
* 6 5	I want to calculate 6 * five?
* 10 10	I want to calculate ten times 10?
* 7 9	How many is 7 * nine?
- 1 10	How many is one - 10?
+ 10 8	what is 10 added with 8?
* 2 3	I would like to know what is 2 times 3?
+ 9 7	I want to calculate nine plus seven?
+ 9 2	How many is nine plus two?
- 2 6	I would like to know what is two - six?
- 2 6	what is 2 minus 6?
/ 7 8	what is 7 / eight?
- 1 8	I would like to know what is 1 minus 8?
+ 6 3	How many is 6 + three?
* 1 10	I want to calculate 1 multiplied by 10?
+ 6 10	I want to calculate six + 10?
* 1 4	what is one times four?
- 10 8	I want to calculate 10 minus eight?
- 7 8	I would like to know what is seven extracted by 8?
/ 9 1	I would like to know what is 9 divided by one?
+ 8 1	How many is eight + one?
+ 9 5	I want to calculate 9 + 5?
- 6 6	How many is 6 minus 6?
* 4 2	I want to calculate 4 * two?
* 4 1	How many is four multiplied by 1?
* 9 3	I would like to know what is nine * three?
- 2 2	I want to calculate 2 extracted by two?
* 1 9	I would like to know what is one multiplied by 9?
- 6 2	I would like to know what is 6 extracted by two?
- 2 10	I would like to know what is 2 extracted by ten?
/ 1 10	How many is one / ten?
- 4 5	I would like to know what is four minus 5?
* 3 1	what is 3 multiplied by 1?
- 1 8	what is 1 minus eight?
/ 8 8	what is 8 / 8?
* 1 1	How many is 1 * 1?
/ 3 10	I want to calculate three divided by ten?
- 10 2	I want to calculate 10 minus 2?
* 1 5	I want to calculate 1 * 5?
* 5 9	what is five multiplied by nine?
- 2 3	How many is 2 extracted by 3?
+ 2 6	what is 2 added with six?
/ 7 4	I would like to know what is 7 divided by 4?
/ 9 8	I would like to know what is 9 divided by 8?
+ 3 9	what is 3 + 9?
+ 3 3	I want to calculate 3 added with three?
* 10 5	what is ten * five?
- 5 7	I want to calculate five extracted by seven?
/ 9 6	I want to calculate nine divided by 6?
/ 8 3	I would like to know what is 8 divided by three?
* 7 1	I want to calculate seven times 1?
+ 2 2	what is two + two?
+ 2 7	I want to calculate two + seven?
/ 10 1	what is ten divided by one?
/ 7 5	I want to calculate seven / five?
/ 4 6	what is four divided by 6?
+ 10 8	what is ten plus eight?
/ 3 1	what is 3 divided by 1?
- 1 10	I want to calculate one extracted by 10?
+ 4 2	I want to calculate 4 + two?
- 8 7	I want to calculate 8 - 7?
/ 2 10	I would like to know what is two / ten?
* 4 10	I would like to know what is 4 times ten?
- 7 8	what is 7 - 8?
* 1 4	I would like to know what is one times 4?
- 4 8	I want to calculate four extracted by 8?
- 10 1	How many is 10 extracted by 1?
- 3 8	I want to calculate three minus 8?
+ 7 7	How many is 7 plus seven?
/ 3 8	I would like to know what is three / eight?
* 1 6	I want to calculate one * six?
- 8 10	How many is 8 minus 10?
- 7 7	How many is seven minus 7?
/ 10 2	I would like to know what is ten divided by two?
/ 5 6	I would like to know what is 5 divided by 6?
+ 5 1	what is five plus 1?
+ 7 9	I would like to know what is 7 + 9?
- 1 3	How many is one minus three?
/ 8 8	How many is eight / eight?
* 6 2	I would like to know what is six * 2?
/ 7 5	what is seven / 5?
* 10 5	I would like to know what is 10 * five?
+ 3 9	what is three added with 9?
- 7 10	what is 7 minus ten?
* 7 6	How many is seven times six?
* 1 2	what is one * 2?
/ 7 1	I would like to know what is seven divided by one?
/ 10 6	what is 10 / 6?
+ 8 2	I would like to know what is 8 added with 2?
+ 10 3	I want to calculate 10 + 3?
/ 2 1	what is 2 / one?
* 9 2	what is 9 times two?
* 6 5	what is six multiplied by five?
- 1 10	I would like to know what is 1 - ten?
- 7 5	I would like to know what is seven extracted by 5?
/ 6 5	I want to calculate 6 divided by 5?
+ 7 4	I would like to know what is 7 + four?
- 8 4	I would like to know what is eight minus 4?
/ 9 2	How many is nine divided by 2?
+ 9 6	I would like to know what is nine plus six?
* 10 7	what is 10 multiplied by seven?
+ 3 1	I want to calculate three added with one?
/ 5 4	I want to calculate five / 4?
/ 6 10	I want to calculate six divided by ten?
+ 3 8	I would like to know what is three plus eight?
* 10 3	I would like to know what is 10 * three?
- 4 3	I would like to know what is 4 extracted by 3?
- 1 4	I want to calculate one extracted by 4?
+ 2 5	what is 2 added with five?
+ 5 1	I want to calculate 5 plus one?
- 5 5	I want to calculate five minus 5?
+ 2 8	I want to calculate two + 8?
/ 4 9	I would like to know what is 4 / nine?
+ 1 4	How many is one added with 4?
+ 8 8	I want to calculate 8 + eight?
* 5 6	I want to calculate 5 multiplied by six?
/ 9 10	what is nine / 10?
/ 2 3	I want to calculate two divided by three?
* 5 6	How many is five multiplied by six?
/ 10 10	I want to calculate ten / 10?
/ 4 4	I would like to know what is four divided by 4?
- 9 3	How many is nine extracted by three?
- 9 4	I want to calculate 9 extracted by four?
- 10 5	How many is 10 minus 5?
/ 2 3	what is 2 / 3?
/ 7 10	what is 7 / ten?
+ 9 8	I would like to know what is nine plus eight?
+ 5 4	I would like to know what is five added with four?
/ 9 1	what is nine divided by one?
+ 10 4	I would like to know what is ten + 4?
+ 8 5	what is 8 plus five?
* 3 2	what is 3 multiplied by 2?
* 2 2	How many is two times 2?
- 2 1	I want to calculate 2 extracted by 1?
+ 3 3	How many is 3 added with 3?
+ 5 9	what is 5 + 9?
+ 10 10	How many is ten + ten?
/ 7 2	How many is seven / two?
- 2 1	How many is two minus 1?
+ 8 7	How many is eight added with 7?
- 9 10	I want to calculate 9 minus ten?
/ 9 3	I would like to know what is 9 divided by 3?
- 7 4	I want to calculate seven - 4?
* 9 9	I would like to know what is nine multiplied by nine?
* 3 5	I would like to know what is 3 times 5?
/ 1 4	I want to calculate one / four?
/ 3 10	I would like to know what is 3 divided by 10?
* 9 1	I would like to know what is nine multiplied by 1?
/ 6 1	I want to calculate six / 1?
+ 4 7	I want to calculate 4 added with 7?
+ 8 9	what is 8 plus 9?
* 5 4	I want to calculate five times 4?
* 4 7	I want to calculate four multiplied by seven?
/ 7 3	I want to calculate seven divided by 3?
+ 7 4	what is seven added with 4?
+ 10 8	I want to calculate 10 added with 8?
- 8 1	I would like to know what is eight minus 1?
/ 8 4	I would like to know what is eight / 4?
+ 7 1	How many is 7 plus one?
/ 7 8	I want to calculate seven divided by 8?
* 9 7	I want to calculate 9 times 7?
+ 9 10	I would like to know what is 9 + ten?
- 4 8	How many is 4 - 8?
* 10 3	I want to calculate 10 * 3?
/ 1 1	I want to calculate 1 / 1?
* 5 8	How many is 5 multiplied by 8?
/ 6 8	what is 6 / 8?
* 4 7	I want to calculate 4 times seven?
- 1 5	I would like to know what is 1 - five?
/ 1 2	what is 1 / two?
+ 7 4	I want to calculate seven + 4?
* 10 4	How many is ten * 4?
* 9 9	I would like to know what is nine multiplied by nine?
* 7 5	I want to calculate seven times 5?
- 1 8	How many is 1 - eight?
/ 1 5	I want to calculate one divided by 5?
+ 9 9	I would like to know what is nine plus 9?
- 10 4	How many is 10 minus 4?
+ 1 9	How many is 1 + 9?
* 3 7	I want to calculate 3 multiplied by 7?
* 2 1	I would like to know what is 2 multiplied by one?
/ 9 9	what is 9 / 9?
* 5 1	I would like to know what is five times 1?
/ 2 2	How many is 2 / two?
+ 2 4	I want to calculate 2 added with 4?
* 6 10	I want to calculate 6 times 10?
* 8 6	How many is eight multiplied by 6?
+ 9 7	I want to calculate nine + 7?
/ 7 5	I want to calculate seven / 5?
+ 5 8	I want to calculate five plus eight?
* 4 5	I want to calculate four multiplied by 5?
+ 10 8	I would like to know what is ten + 8?
- 7 8	I want to calculate 7 - eight?
* 7 5	I would like to know what is 7 times five?
+ 4 6	I would like to know what is four added with six?
* 8 1	I want to calculate eight times one?
* 6 9	How many is six times 9?
* 10 4	I would like to know what is ten times 4?
* 5 9	I would like to know what is 5 times nine?
+ 10 1	How many is ten added with 1?
- 10 4	I want to calculate ten extracted by 4?
/ 7 1	I would like to know what is seven divided by one?
- 10 8	How many is ten extracted by eight?
+ 8 4	I want to calculate eight + four?
+ 1 7	what is one added with 7?
- 7 1	I would like to know what is 7 extracted by one?
+ 2 3	I want to calculate 2 added with 3?
+ 1 8	How many is 1 + eight?
- 6 4	How many is six minus four?
* 7 10	I want to calculate 7 * 10?
* 8 4	I want to calculate 8 times 4?
* 4 3	I would like to know what is 4 multiplied by 3?
- 10 8	I want to calculate 10 - 8?
- 2 6	what is two - 6?
* 10 2	How many is ten * 2?
* 2 2	How many is two multiplied by two?
- 3 3	How many is 3 - 3?
+ 6 8	what is six plus eight?
+ 6 6	what is 6 plus 6?
/ 10 2	what is 10 divided by two?
+ 9 2	I would like to know what is nine + two?
* 7 1	I want to calculate seven times 1?
+ 1 5	what is one + 5?
+ 6 3	I would like to know what is six + three?
* 7 7	what is seven times 7?
/ 3 10	I would like to know what is three / ten?
/ 4 5	How many is four / five?
/ 3 10	I would like to know what is 3 divided by ten?
/ 7 3	I want to calculate seven / 3?
+ 4 5	How many is 4 added with five?
* 1 10	How many is 1 * 10?
+ 2 8	I want to calculate two + 8?
/ 2 9	I would like to know what is two / nine?
- 9 3	I would like to know what is nine minus 3?
- 7 1	what is seven minus 1?
* 10 1	How many is 10 * one?
/ 7 6	I want to calculate seven / 6?
* 7 2	I want to calculate seven * two?
/ 8 5	what is eight divided by five?
- 8 1	How many is 8 extracted by one?
/ 10 6	I want to calculate ten divided by six?
+ 1 10	I would like to know what is one plus 10?
/ 1 1	How many is 1 divided by 1?
/ 5 8	How many is 5 / eight?
+ 4 3	what is 4 plus 3?
/ 9 10	How many is 9 / 10?
* 10 7	I would like to know what is 10 * seven?
+ 8 10	what is 8 added with ten?
* 7 4	How many is 7 multiplied by 4?
- 1 7	I want to calculate 1 minus seven?
- 1 4	How many is one extracted by four?
* 5 4	I would like to know what is five multiplied by four?
- 9 1	How many is nine - 1?
- 6 5	I want to calculate 6 - 5?
+ 4 5	I would like to know what is four + 5?
* 7 3	what is 7 multiplied by 3?
/ 2 7	I would like to know what is two divided by 7?
- 9 4	I would like to know what is 9 - four?
+ 9 5	I want to calculate 9 added with 5?
+ 2 2	I want to calculate two added with two?
/ 9 8	what is 9 / eight?
/ 9 4	I would like to know what is 9 divided by 4?
+ 1 1	I would like to know what is one + one?
- 5 8	what is 5 extracted by 8?
* 8 10	How many is eight multiplied by 10?
- 10 1	what is 10 minus one?
- 10 2	I would like to know what is 10 minus 2?
/ 9 8	How many is nine divided by 8?
- 7 10	I would like to know what is seven minus ten?
+ 9 1	How many is 9 plus 1?
/ 8 9	How many is eight / 9?
- 1 4	I would like to know what is one - four?
/ 3 2	I want to calculate 3 / 2?
/ 10 6	I would like to know what is 10 / six?
/ 9 3	I would like to know what is 9 / 3?
/ 5 5	How many is five divided by 5?
- 1 7	I would like to know what is 1 - 7?
* 3 5	I want to calculate 3 * 5?
* 4 4	How many is 4 multiplied by four?
* 5 5	I would like to know what is five multiplied by five?
/ 1 4	How many is 1 divided by four?
+ 1 6	How many is 1 + 6?
* 1 3	what is one * three?
+ 3 2	How many is three added with two?
* 9 1	I would like to know what is nine multiplied by one?
- 6 4	I would like to know what is six - four?
/ 6 10	what is 6 divided by 10?
* 6 8	I want to calculate six multiplied by eight?
/ 6 2	what is six / 2?
+ 3 7	what is three added with 7?
* 5 9	I want to calculate five times 9?
- 3 4	I want to calculate three extracted by four?
/ 6 10	How many is 6 / ten?
/ 6 10	How many is 6 / ten?
- 3 9	I would like to know what is three minus nine?
- 4 6	I want to calculate 4 minus six?
+ 9 5	I would like to know what is 9 added with five?
- 4 10	I want to calculate 4 extracted by ten?
- 7 4	How many is seven minus four?
* 9 3	I want to calculate nine times 3?
- 9 7	How many is nine - seven?
* 9 1	I want to calculate nine multiplied by one?
- 4 9	what is four - 9?
- 9 8	I would like to know what is 9 minus eight?
* 1 7	How many is 1 multiplied by 7?
/ 10 3	How many is ten / three?
+ 2 8	How many is two plus 8?
* 10 5	How many is 10 multiplied by five?
- 2 10	How many is two minus ten?
* 4 6	How many is 4 times 6?
* 7 9	what is 7 * nine?
* 3 6	I would like to know what is three multiplied by six?
- 10 9	How many is 10 minus nine?
+ 6 5	I would like to know what is 6 plus 5?
- 10 4	I want to calculate 10 extracted by four?
/ 3 4	I want to calculate three divided by four?
* 3 6	what is 3 times 6?
- 4 10	How many is four extracted by 10?
* 4 7	what is 4 multiplied by 7?
* 9 1	I want to calculate 9 times one?
- 10 1	I want to calculate ten - 1?
+ 6 1	I would like to know what is six + one?
+ 1 2	How many is 1 plus two?
/ 3 9	How many is three divided by nine?
+ 10 5	I want to calculate 10 added with 5?
- 3 9	what is three - 9?
* 9 10	what is nine times 10?
- 6 10	How many is six minus 10?
/ 2 7	I would like to know what is 2 / seven?
* 1 3	How many is 1 multiplied by three?
+ 10 5	I would like to know what is 10 plus five?
/ 6 10	How many is six divided by 10?
- 6 6	I would like to know what is six - 6?
+ 5 1	How many is 5 added with 1?
* 1 3	How many is one multiplied by 3?
/ 6 5	what is six / 5?
+ 3 3	How many is three added with three?
- 3 4	How many is 3 extracted by 4?
+ 1 4	what is 1 added with 4?
+ 1 7	I would like to know what is 1 plus 7?
+ 3 3	I want to calculate three plus three?
- 3 5	I would like to know what is 3 minus five?
* 8 3	I want to calculate 8 * three?
/ 8 10	I want to calculate eight / ten?
/ 7 8	I want to calculate 7 / eight?
- 7 6	what is seven extracted by 6?
+ 3 6	I want to calculate 3 added with 6?
* 9 8	I would like to know what is 9 * 8?
* 7 4	I would like to know what is seven times 4?
* 8 3	what is 8 times 3?
* 3 8	How many is 3 multiplied by 8?
+ 3 5	I would like to know what is 3 added with 5?
/ 9 9	what is 9 divided by 9?
/ 10 10	what is 10 / 10?
- 1 1	I want to calculate one extracted by one?
+ 6 8	How many is six added with eight?
- 6 3	what is 6 extracted by three?
- 3 2	I want to calculate 3 - two?
+ 1 4	I want to calculate one added with 4?
/ 1 10	I want to calculate 1 / ten?
+ 9 10	How many is nine plus 10?
* 2 6	How many is 2 times six?
- 10 9	what is ten extracted by nine?
* 7 10	I want to calculate 7 times 10?
/ 10 10	I would like to know what is ten / ten?
/ 4 7	what is 4 / seven?
- 10 7	I would like to know what is ten - seven?
+ 3 8	I would like to know what is 3 + eight?
- 3 10	I want to calculate 3 minus ten?
+ 5 8	what is 5 added with eight?
/ 5 10	I want to calculate five divided by 10?
/ 10 6	I want to calculate 10 divided by 6?
+ 5 2	what is 5 plus 2?
+ 8 4	what is 8 plus 4?
* 2 6	I want to calculate 2 times six?
+ 4 9	what is four + 9?
+ 7 8	I would like to know what is seven plus eight?
/ 6 10	How many is six / ten?
/ 4 9	I want to calculate 4 divided by nine?
/ 1 7	I would like to know what is one / seven?
+ 5 5	what is five plus 5?
* 1 8	what is one times 8?
- 10 3	I want to calculate ten extracted by three?
/ 3 5	I would like to know what is 3 divided by five?
* 10 4	what is ten * four?
* 1 1	How many is one multiplied by one?
- 6 10	what is six - ten?
+ 4 10	I want to calculate four plus 10?
* 8 4	what is 8 multiplied by four?
* 4 2	I want to calculate four multiplied by 2?
- 4 4	I would like to know what is four - 4?
- 8 1	I want to calculate 8 extracted by one?
* 4 4	I would like to know what is 4 times 4?
- 6 4	How many is 6 - 4?
- 3 1	I would like to know what is three - 1?
* 8 5	I want to calculate 8 multiplied by 5?
* 9 10	what is nine multiplied by 10?
* 10 7	How many is 10 times 7?
- 7 3	what is seven - 3?
+ 10 2	I want to calculate ten plus two?
/ 10 6	I want to calculate 10 divided by 6?
* 10 1	I want to calculate ten times 1?
/ 10 2	what is 10 / two?
* 3 6	I want to calculate three times 6?
+ 2 1	I would like to know what is 2 + one?
/ 9 7	what is nine / 7?
* 8 1	I want to calculate eight times 1?
- 8 3	I would like to know what is 8 - 3?
* 3 5	I want to calculate three * 5?
+ 8 4	what is eight plus four?
+ 9 9	I want to calculate 9 plus 9?
- 2 10	what is two extracted by 10?
* 4 5	How many is 4 * five?
+ 9 7	I would like to know what is nine plus 7?
/ 5 6	what is 5 / six?
/ 7 5	I want to calculate 7 divided by five?
/ 8 6	what is eight divided by 6?
/ 7 8	I would like to know what is seven / eight?
+ 8 3	what is 8 added with 3?
- 5 4	How many is five minus 4?
* 9 10	I want to calculate 9 times 10?
+ 3 6	I want to calculate 3 plus 6?
/ 2 9	what is two / 9?
+ 4 1	I want to calculate four + one?
* 1 1	How many is 1 * 1?
+ 9 7	How many is nine added with seven?
/ 1 5	How many is 1 divided by 5?
* 5 3	How many is five times 3?
- 9 3	I would like to know what is 9 - three?
+ 4 9	I want to calculate four + 9?
* 2 10	what is two multiplied by 10?
* 1 9	I want to calculate 1 times nine?
+ 5 2	I want to calculate 5 + two?
+ 8 3	How many is eight added with three?
+ 5 6	How many is 5 plus six?
* 4 3	I want to calculate 4 * 3?
+ 3 5	How many is three + five?
- 7 4	what is seven - four?
+ 1 10	I want to calculate one plus ten?
- 5 8	I would like to know what is five minus eight?
/ 3 6	what is three / six?
* 8 2	I want to calculate eight multiplied by 2?
* 5 9	what is five times 9?
+ 8 9	what is eight plus 9?
+ 8 6	I want to calculate eight + six?
/ 5 5	what is 5 divided by 5?
- 2 10	I would like to know what is 2 - 10?
/ 5 10	I would like to know what is five divided by ten?
- 3 8	I want to calculate 3 extracted by 8?
* 4 7	what is four times 7?
+ 2 10	I would like to know what is 2 plus ten?
/ 5 9	I want to calculate 5 / 9?
- 8 10	I want to calculate 8 - 10?
/ 4 8	How many is 4 divided by eight?
+ 1 4	I want to calculate 1 + four?
+ 8 10	How many is 8 + 10?
* 8 6	I would like to know what is eight multiplied by 6?
- 10 4	I want to calculate ten minus 4?
/ 9 7	what is nine divided by seven?
- 10 4	I would like to know what is 10 minus four?
+ 1 9	I would like to know what is 1 plus nine?
- 4 10	what is 4 extracted by 10?
/ 10 5	How many is 10 / 5?
/ 7 6	I want to calculate 7 / 6?
- 8 2	I would like to know what is 8 minus 2?
/ 7 9	I want to calculate seven / 9?
* 7 8	How many is seven * 8?
* 9 3	I want to calculate 9 times three?
